what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1303226260760
started,bundle,org.eclipse.jst.common.frameworks,1.1.403.v201012160000,"org.eclipse.jst.common.frameworks",1303226260767
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1303226260767
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1303226260768
started,bundle,org.eclipse.jst.j2ee.web,1.1.404.v201102030400,"org.eclipse.jst.j2ee.web",1303226260780
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1303226260793
started,bundle,org.eclipse.m2e.core,0.13.0.201103151108,"org.eclipse.m2e.core",1303226260793
started,bundle,org.eclipse.m2e.core.ui,0.13.0.201103151108,"org.eclipse.m2e.core.ui",1303226260794
started,bundle,org.eclipse.m2e.discovery,0.13.0.201103151108,"org.eclipse.m2e.discovery",1303226260794
started,bundle,org.eclipse.m2e.jdt,0.13.0.201103151108,"org.eclipse.m2e.jdt",1303226260795
started,bundle,org.eclipse.m2e.logback.configuration,0.13.0.201103151108,"org.eclipse.m2e.logback.configuration",1303226260795
started,bundle,org.eclipse.m2e.model.edit,0.13.0.201103151108,"org.eclipse.m2e.model.edit",1303226260795
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1303226260796
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1303226260797
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1303226260798
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1303226260799
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1303226260799
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1303226260816
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1303226260832
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1303226260833
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1303226260834
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1303226260835
os,sysinfo,,,"linux",1303226260842
arch,sysinfo,,,"x86_64",1303226260842
ws,sysinfo,,,"gtk",1303226260842
locale,sysinfo,,,"pt_BR",1303226260842
processors,sysinfo,,,"2",1303226260843
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1303226260843
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1303226260843
java.specification.name,sysinfo,,,"Java Platform API Specification",1303226260843
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1303226260843
java.specification.version,sysinfo,,,"1.6",1303226260843
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1303226260843
java.version,sysinfo,,,"1.6.0_24",1303226260843
java.vm.info,sysinfo,,,"mixed mode",1303226260843
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1303226260843
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1303226260843
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1303226260843
java.vm.specification.version,sysinfo,,,"1.0",1303226260843
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1303226260843
java.vm.version,sysinfo,,,"19.1-b02",1303226260843
started,bundle,org.eclipse.m2e.usagedata,0.13.0.201103151108,"org.eclipse.m2e.usagedata",1303226260848
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1303226261937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303227094733
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.AllMarkersView",1303227098386
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1303227113970
